,text,date,nickname,date_year,sentiment,sentiment_score
19,"tadı damağımda isimli programının 5. bölümünde sur ocakbaşı isimli mekanda sergilediği tavırlar kendisinin nasıl bir lezzet düşkünü olduğunu göstermektedir. mekan sahibini lafa tutup konuşturmaya çalışırken kuzu kaburgaya yumulması, gelen mega kebap tabağındaki etleri görünce gerçek anlamda gözlerinin parlaması, ayranı içerken program, kamera falan boşvermesi ve tamamen yiyecekler ile dolu masanın üzerinde bir dhalsim bir örümcek adam edasıyla hareket etmesi bile kendisinin yaşamdan keyif almayı ne kadar i",2009-04-25,kadam,2009,Nötr,0.995505690574646
20,(bkz: çok güzel),2009-04-25,kadam,2009,Pozitif,0.9743767976760864
21,anadolu mutfağındaki sessizliğini konuşarak zaman kaybetmek istemeyip bir an önce yemeklere yumulma isteğine bağladığım gurme. o yemekler önünde dururken kim konuşmakla zaman kaybetmek ister ki?,2009-04-29,votkalimon,2009,Nötr,0.9188446402549744
22,"gazeteden arada okuyorduğum ve mutlu mesut takip ettiğim kişi idi ya da hala öyle.
lakin bu gece son dakikaya bırakılmış bir sınav çalışması molasında, karın gurultuları eşliğinde televizyonu açtım.
bir de ne göreyim, birisi kebap yiyor. ama öyle böyle değil. hapur hupur. bir yandan soru soruyor, bir yandan da götürüyor.
vedat milor'u sadece gazetedeki fotografından tanıdığım için sırtı dönük halini biliyordum. ama bu adamın vedat milor olduğunu eti koklamasından hissettim. sonra programın reklam arasında ",2009-05-04,trampled under foot,2009,Nötr,0.9109501242637634
23,"kanka olunmak istenen ünlüler listesine bir numaradan giren insan. şu ana kadar (muhtemelen ilelebet) gittiği restoranların* bir tanesine ondan önce gitmiş olmaktan ayrı bir gurur duysam da programını, severek mi? nefretle mi? izlediğim konusunda bir fikrim yok. burdan vedat ağabey'e sesleniyorum, sen beni boğazda yemeğe götür ben de seni bizim evde ıspanaklı kol böreği yemeğe davet edeyim. kararını çabuk bildir, zira ıspanak mevsimi geçiyor.",2009-05-04,sotw,2009,Nötr,0.9609619975090027
24,"kebaba ve et yemeklerine olan sevgisini ""bazen kendimde güneydoğulu kanı olduğundan şüpheleniyorum."" sözleriyle dile getiren gerçek gurme. etleri höpürtedişini izlerken o kanıya kolayca varıyor zaten insan. mekanın mimarisine,rahatlığına değil sunulan yemeklerin lezzetlerinin gücüne önem veriyor bu zat. iyi de yapıyor.",2009-05-06,ghostcountry,2009,Pozitif,0.9928687214851379
35,ankastre mutfaklara esir olmamasını temenni ettiğim.,2009-05-10,denzo,2009,Nötr,0.9995490908622742
34,"programının merkezine istanbul'u oturtmuş gurme. her şeyden önce, şeflere doğru soruları sorup yemeğin yapılışıyla ilgili nüansları seyirciye aktarmasını çok iyi biliyor. bu arada yemekte kullanılan malzemelerin seçiminde yöresel bilgileri ve tazeliğini anlayabilmemiz için renk, koku, aroma standartlarını belirtmeyi de ihmal etmiyor. istanbul koseptli sürü sepet program içerisinde, gastronmi alanındaki derinliğiyle farkını ortaya koymasına rağmen, mehmet yaşin'in sunduğu yol üstü lezzet durakları'ndaki sam",2009-05-10,denzo,2009,Nötr,0.9995359182357788
33,(bkz: allez venez milord),2009-05-10,koenagadol,2009,Nötr,0.9997138381004333
32,"yemek yerken aklıma; yüzüklerin efendisi, kralın dönüşü filmindeki gondor vekilharcı denethor'un oğlu faramir'i ölüme gönderdikten sonra pippin'in şarkısı eşliğinde yemek yemesi geliyor.",2009-05-10,macguffin,2009,Nötr,0.9995682239532471
31,"kendisine bakıp çıkardığım ders, ünlü olmak istiyorsam, akademisyen olup arşivlere makale yazmak yerine; gurme olup ntv'ye program yapmalıyım'dır. neyse ki ünlü olmak filan istemiyorum ama yemekle ilgili her programı, sanki çok iştahlıymışcasına izleyen birisi olarak, gezdiği gördüğü mekanları ve yediği içtiği şeyleri yakınen takip ediyorum. heralde gözüm aç benim. bir de kendimi öyle bir program yapmaya nedense çok layık görüyorum. kıskançlık derecesinde. yemek yemek ve yediklerim hakkında konuşmak istiyo",2009-05-10,huthut,2009,Nötr,0.8968937397003174
27,"herşeyden önce bu adam yemek yemeyi seviyor. izleyince dikkatlice bakıldığında resmen yemek yerken elleri titriyor, heycanlanıyor. programında pahallı restaurantlarda ""kaça bu porsiyon?"" diye sorup, yıldızları verirken hatırlatan başarılı bir insandır. dışardan bakınca dünyanın en zevkli işini yapıyormuş gibi duruyor. hani ""gel la grande işi bırak benim stajyerim ol, ahanda masayı donatın bu çocukta yesin"" dese, hemen patrona selam edip ceketimi alıp yanına ışınlanacağım adamdır.",2009-05-10,la grande,2009,Pozitif,0.9994162917137146
29,"geceleri, en guzel restoranlarda en guzel yemekleri yerken tum guzel dusuncelerimizle izliyor degiliz kendisini, yalniz gercekten daha fena bir yonu var. kotu yemek yiyor. bu kadar gormus gecirmis, bilgi sahibi bir insanin masa basinda yemek yemeyi ilk kesfedenler gibi davranmasi gercekten dusunduruyor insani..",2009-05-10,yeniyilda yagan kar,2009,Negatif,0.9960724711418152
28,"nedense sevemiyorum ben bu adamı ve programını. ne zaman kaçmaya çalışsam, illa da çıkıveriyor ntv'de karşıma. zap yapana kadar illa bir ağız içi kamera çekimine ya da bir şapırtıya, bir ağız sesine denk geliyorum. korkunç...",2009-05-10,crayon,2009,Negatif,0.9955785870552063
26,"gece gece götürdüğü kebaplar ile benden bir dolu küfür yemiş olan gurme. kurtköy'de bir gaziantep lokantası bulup, bir de orada kebap üstüne acılı kuru patlıcan dolması yiyip tüm bunlar yetmezmiş gibi katmer ile konuyu kapatması ve tüm bunları gecenin 01.30'unda becermesiyle çoktan haketti bu tavrı.

bak yine sinirlendim.",2009-05-10,s7evin,2009,Negatif,0.9993830919265747
25,"yemekleri bilen ama yemek yemeyi kesinlikle bilmeyen bir gurme. sürekli çatalı ısırması ve çann çunn diye sesler çıkarması bir yana bir de ağzını şapırdatması insanın içinin bayılmasına sebep olurken aynı zamanda ağzının ve çenesinin etrafındaki yemek artıkları ve yağ tabakası insanın midesini ağzına getiriyor desem abartmış olmam heralde ??? vedat bey sizin için truf mantarının dondurulmuşunu yemek nasıl bir işkenceyse, ekran başındakiler içinde sizin çenenizden damlayan yağları izlemek öyle bir işkence d",2009-05-10,senefela,2009,Negatif,0.9995931386947632
30,"yemek masalarının mösyösüdür kendileri. ne kadar ağzını şapırdatarak yese, gece gece karnımızı acıktırsa da hem bilimadamı olmasından hem de oldukça doğal tavırlarından dolayı kızamayız kendisine. en fazla içimizden bir iki şey söyleriz gizli gizli, o da götürdüğü büryan kebaplarını gördüğümüzde hayıflanıp, içerlenmemizdendir. yinede ekranın önünde umutla bekliyorum ""gel mon ami beraber götürelim bu yemekleri, ardından da şarapları çakarız."" diyerek beni yanına çağıracağı anı.",2009-05-10,medre,2009,Nötr,0.920792281627655
36,"hangi bölümdü hatırlamıyorum, conrad hilton'daki italyan restoranında ""av etleri"" temalı bir ziyafetin üstüne, yine yanlış hatırlamıyorsam florya taraflarında bir cağ kebapçısında cağ'ları götürdükten ve de hiç hız kesmeden ""hiç aç değildim buraya gelirken, o kadar leziz ki 4 tane yedim"" dedikten sonra, ""ved-etttt, ved-eettt"" şeklinde tıslamama neden olmuş insan. siyah trüf eksik olmasın sofrandan ama ben hiç cağ yemedim, rafine zevkli ağbim*",2009-05-11,arsiz padawan,2009,Nötr,0.9735269546508789
37,bugunkü programında suşi'yi çatal ile yiyerek beni hayal kırıklığına uğratmış insan. herkesten beklerdim vedat baba ama senden beklemezdim!,2009-05-20,yunus,2009,Negatif,0.9992204308509827
38,"müthiş bilgi birikimini sadece yazılarından takip edebiliyorum zira ne zaman denk gelsem elleriyle yemeklere dalıyor, sürekli ağzına yağ bulaşıyor, çenesine damlıyor, o silene kadar ben mahvoluyorum falan. bilgisine saygım sonsuz ama yemekte karşımda oturmasını istemezdim.",2009-05-21,oceanus,2009,Negatif,0.9988198280334473
39,rüyasında kuzu kapama gördüğünü söyleyen gurmedir. biz ise rüyalarda sevişirdik..,2009-05-21,votkalimon,2009,Negatif,0.7791092991828918
40,"yemek yerken iştahına hayran kaldığım, işini layıkıyla yapan gurme... samimi.

edit: geçen hafta kastamonu'da medrese içindeki bir lokantanın yemeklerini beğenmedi, mutsuzluğu yüzünden okundu. umudunu yitirmedi, 'et' olan bir lokantaya gitti yine kastamonu'da neyse ki.., yediği soğanlı moğanlı döneri görünce gözlerinin içi güldü.. lakin bu sefer giderek iştahından uzaklaştığımı fark ettim... biraz bencil buluyorum kendisini. ama yine de samimi. bencilliği, beğenileri, zaafları olduğu gibi gözümüzün önünde.",2009-05-21,tavus,2009,Nötr,0.9644535779953003
41,türkiye de hobisinden para kazanma lüksüne sahip nadir insanlardan biridir .o nedenle ntv deki programını izlediğim zaman kendisine aşırı özendiğim insandır.yıllar önce kendisine yatırım yapıp yurtdışına yaptığı seyehatların eminimki çoktan parasını çıkarmıştır ama şu bir gerçektirdir ki onunla aynı hobilere sahip olan bir insanın açıkcası maddi durumunun da iyi olması gerekir yoksa sadece esnaf lokantası gurmesi olmanın ötesine geçilemez.,2009-05-28,joey82,2009,Nötr,0.9886301159858704
42,"""sevgili kızım ceylan'ın yanağı kadar tatlı bu kalkan yanağı"" diyerek iyi yemeğe duyduğu sevgiyi ve bağlılığı tek bi cümlede açıkladı adam. spice market konusundaki merakımı da bi ölçüde giderdi.

bi de sevgili milor çatal-kaşık-bıçak adabını arada unutmasa...",2009-05-31,aminotriazoltiyon,2009,Pozitif,0.9989013671875
43,"""bi kere balık çok taze"" cümlesini hemen her programda kuran gurmedir kendisi..",2009-05-31,votkalimon,2009,Pozitif,0.7294957637786865
44,"çok da şakacı bi beyefendi.

v.m.: bu tutku bitkisinin* adı nereden geliyor, biliyor musun?
spice marketin şefi*: hayır, bilmiyorum?
v.m.: ben de bilmiyorum. hehehe.",2009-05-31,aminotriazoltiyon,2009,Nötr,0.9994010329246521
45,"milliyet gazetesindeki tüm yazıları için;

http://www.yazarx.com/yazardetay.aspx?yazarid=974",2009-05-31,isikokunem,2009,Nötr,0.9994311928749084
46,"icinde bir adanali besleyen kuyruk yagı duşkunu, et obur bir o kadar da naif gurme,",2009-06-01,hakiki simovic,2009,Pozitif,0.8816370964050293
47,"tüm nezaket kuralarını bildiğinden eminim lakin gereksiz kibarlıklara girmeden içinden geldiği gibi yemeğini yer, seyrederken insanın iştahı açılır adeta. çatal tutuşu çok gariptir yada bana öyle geliyor",2009-06-05,asti,2009,Nötr,0.9973979592323303
48,"gurme ayağına dünyayı yedi de bitiremedi....

televizyonda gözümle gördüm valla, özsu et lokantasının sahibi beyamcanın yüzünde ""oha her şeyi yedi"" ifadesi vardı.",2009-06-08,boreno telcontar,2009,Nötr,0.9994863271713257
49,"televizyonda her gordugumde bu adam denethor gibi yemek yiyor demekten kendimi alamadigim insan, ayhan sicimoglu daha yakin geliyor biraz daha deli olsa da",2009-06-09,garmonbozia,2009,Nötr,0.8869544267654419
50,"rumelifeneri'ndeki bir balıkçıda kalkan balığı yediği bölümde bende geri dönüşsüz travma yaratmış kişidir.""ımmmş, cvık, tlik, mmm"" sesleri eşliğinde ""belki biraz hoş olmuyo ama bu böyle yenir"" diyerek kalkan balıklarını bir emişi vardı sanırsınız üç günlük aç. ağız da hep yağ oldu sonra. ıyyy.",2009-06-09,mareactio,2009,Negatif,0.9992926120758057
51,e-mail adresini vmilor@gmail.com almak isteyen ama alamayınca gmail'in önerdiği vmilorster@gmail.com alan gurme yazar. (not: benim değil burak bayburtlu'nun tespitidir.),2009-06-14,perikles,2009,Nötr,0.9993249177932739
55,"türbülante edilmiş dana şötemez yemeye doyamamış bir insandır. zevk sahibi bir ehlivukuf ancak yine de o garip yeme usulüyle pek iştah bırakmıyor kimsede. kameraman dostu da özellikle parıldayan dudağa, ritmik olarak inip çıkan çeneye dalıp öyle bir detay alıyor ki ne desem bilemedim.

sunum: xxx
bilgi: xxxxx
iştah açma : x
hitabet: xxxx",2009-06-17,daldurdap,2009,Nötr,0.9994283318519592
54,"önünde iyi bir yemek varken dünya yıkılsa umurunda olmayan kişiymiş: ayvalık'ta deniz kestanesi adlı restoranın denize sıfır bir masasında ahtopot bacağı yerken, ""cupp"" diye bir ses duyulur. vedat milor, cep telefonunu düşürmüştür. çevredekiler hemen koşuşup telefonun düştüğü yere doğru bakarak ne yapacaklarını düşünürlerken, vedat amca oturtuğu yerden ve en ufak bir telaş göstermeksizin ""artık kullanamam di mi?"" diye sorup büyük bir iştahla ahtapotu yemeye devam eder. afiyet şeker olsun, löp löp et olsun ",2009-06-17,lairocse,2009,Nötr,0.9183378219604492
56,"mesela mehmet yaşin de yemek programı yapıyor nerdeyse türkiye'nin her yerini geziyor, güzelim yemekler yiyor. ama biz izlerken sanki adamı zorla oturtup yemek yedirdiklerine inanıyoruz. bir çatal alıp hııım bu da güzelmiş diyor, bir çatal da başka bir muhteşem yemekten alıp ooo çok güzel diyor... ee ne anladım ben bu olaydan.
ama vedat abim öyle mi önüne düzgün bir yemek ver ne babasını tanıyor, ne çocuğunu... adam başka dünyaya gidiyor, sushileri eliyle mideye dolduruyor biz abi bi daha diyoruz, telefonu",2009-06-17,sahibinden,2009,Negatif,0.9990541934967041
52,"şu anda ekranda iyi bir zeytinyağının özelliklerini ekmeğini yağa bana bana anlatan gurme. kürşat zeytin ve zeytinyağlarında kendisine sunulan zeytini ve yağını hakkını vererek yemektedir. hastasıyım , yanında bedava staj yaparım vedat abi , tabağı sıyırırkenki performansımı görünce sen de pişman olmayacaksın.

(bkz: üniversite tercihi yapacaklara tavsiyeler)",2009-06-17,man of honor,2009,Pozitif,0.9988244771957397
53,az önce kamera arkasında da gördüğümüz üzere telefonu denize düşse de istifini bozmadan yemeye devam etmektedir.. olay budur. hepimize afiyet olsun..,2009-06-17,fahriozan,2009,Pozitif,0.9978241920471191
57,"serinkanlı gurme.. gurmelerin hepsine özenmişimdir oldu bitti.. yemek seçmek gibi kötü huyları yoktur çünkü.. ama sayın milor'da bir de serikanlılık var ki ekstra hayranlık uyandırıyor..

vedat bey hem yemek seçmiyor hem de dünya yansa bile tabağında yemek bırakmıyor.. dün akşam yayınlanan programı izleyenler bilecektir, sayın milor yemek yerken denize cep telefonu düştü ancak o istifini bile bozmadı, tabağındakileri bitirdi.. peşinden ağlamasınlar diye elbette.. anne sözü dinlediği için, hayranlığım bir k",2009-06-18,a little bird told me,2009,Negatif,0.9989467263221741
58,"saf ve temiz oldugu kadar o ingiliz soylusu gorunumunde kirilgan bir kalp ta$ir.

erzurumlu bir pacacidaydi gecen. i$kembeli nohut yemegi yedi ve bunu sadece dunyada ispanyada gordugunu burdan yola cikarakta acaba erzurumlularla ispanyollar karde$ mi onerisinde bulundu. tamamiyle geyigine.

pacaci olan erzurumlu abi vedat abimizi ciddiye aldi i$te o anda vedat abimiz ehom olur mu oyle $ey latife yaptim gibilerinden toparladi. kirildi utandi naifce. fark ettik

ben buna gulmeye cali$tim ama i$kembeli nohutu",2009-06-18,breath,2009,Nötr,0.9966210126876831
59,"yemek buldun ye dayak buldun kaç sözünün yarısını sallamıyor sanırım, dayak meselesini bilemem tabi.

yaz gecesi pirogramında önüne tatsın da yorum yapsın diye yemek getirdiler, '' akşam çok güzel yemek yedim ve kahve içtim '' diye teşekkür ederek geri çevirdi. ulen iki lokma al, bi ekmeği ban işte, bi tadına bak. allah allah ya, yemek ulen, nimet nimet. yiyiver gari bi gıdım.

insanlar açlıktan kırılıyor abi, tamam yemeğe saygı cart curt da, ne güzel tütüyordu bee. gideyim, makarnayla dertleşeyim.",2009-06-19,zibidigibi,2009,Nötr,0.9243143200874329
60,yaz gecesi şovu'nda yaptığı yemek ve seks arasındaki benzetmesi burcu esmersoy'un gözlerini belertmiştir..,2009-06-19,votkalimon,2009,Nötr,0.9902715086936951
61,"eğer öncesinde yemek yediyse, önünde dünyanın en iyi yemeği de olsa umurunda olmayan kişiymiş:

ntv'deki yaz gecesi şovu adlı programa katılan vedat milor'a programın sunucuları burcu esmersoy ile yekta kopan şirin bir süpriz yapıp çeşit çeşit yemek getirerek kullanılan malzemeleri bilmesini rica ettiler. fakat bizimki demesin mi, ""ben bunları yemem, çünkü yemeğimi yeyip kahvemi içip geldim"". haydiiii... dumanları tüten yemekler önlerinde burcu ile yekta bozuldu tabi. burcu ısrar eder, ""hani en azından tad",2009-06-19,lairocse,2009,Nötr,0.9993631839752197
66,"pazar pazar siz evde pineklerken, sabah televizyonu açtığınızda bu şahsiyeti çeşit çeşit lezzetli tatlı, yemek , şarap denerken görürsünüz , canınızı istetir, ayıptır sayın milor bize de gönderseniz ne olur demek istediğim, programlarından birinde stanford hukuk mezunu olduğunu laf arasına sıkıştırmış şahsiyettir.",2009-06-21,kaimono,2009,Negatif,0.999487578868866
64,şarabın tadından meşe odununda fermante edildiğini` : o ne demekse` anlayabilen biri. bir de cesur yürek'te şarapla kanlı kanlı et yiyen kralın ağzını gösteren bir sahne vardı. nedense bu adama bakınca sürekli aklıma bu sahne geliyor. ama böyle yemek yerken denize cep telefonu düşürme gibi oyunlara girmemeli. biz seni böyle sevdik milorcüm. başkası olma kendin ol. küçük hesapların adamı değilsin sen biliyoruz.,2009-06-21,takoz recayi,2009,Nötr,0.5272920727729797
65,izlerken yorumlariyla aciktiran insan. ustelik her kesime hitap ediyor.,2009-06-21,poisoned orchid,2009,Nötr,0.9995729923248291
62,"beyefendi nefis deyince bile ağzım sulanıyor, sülünesleri götürmesi de bir faktör olabilir elbette.",2009-06-21,vulnificus,2009,Nötr,0.9561757445335388
63,"başlığının altına ""cep telefonu düşmüş adam yemeği kesmemiş çok ilginç hihihi"" yazan 100'üncü kişinin ödüllendirileceğini duyduğum, self denied gurme.",2009-06-21,funkistan,2009,Nötr,0.9992978572845459
67,"yaz gecesi şovunda yaptıklarıyla beni benden alan kişi olmuştur.zira aynı kanalda çalıştıklarını bilmesem bir konuk olarak burcu esmersoy ve yekta kopan'a gıcıklığı var da programda özellikle onları bozmak için geldiğini sanırdım.öte yandan cv sini bilmesem zaten bu programdan sonra tam bir gsl ekolune yakışır ukalalığı olduğunu söylecektim. programın en şok verici yanı sanırım jest olarak , joke perestroyka'dan gelen yemeği yemediği gibi yememe bahanesi için öyle benzetmeler yaptı ki burcu esmersoy'un mil",2009-06-22,joey82,2009,Nötr,0.5139562487602234
68,gurbet ellerde bi taraflarimi cok fena sisiren abi. artik pavlov un köpegi gibi adini duyunca agzim sulaniyor. bi de gencken edith piaf müthis bir ask yasamislar. (bkz: milord),2009-06-22,tembesili,2009,Nötr,0.612119734287262
69,itici.,2009-06-22,yeniyilda yagan kar,2009,Negatif,0.999632716178894
70,"adam zevk alıyor, onu izlemesi de güzel oluyor. böyle bir şeye kafayı takmış adamlar da çeşit çeşit. kimisi haktan akdoğan gibi gözünüze gözünüze sokuyor, kimisi de bak bu adam gibi saygı yaratıyor.",2009-06-23,nuplastic,2009,Pozitif,0.5912873148918152
71,"geçenlerde izledim, tatil yörelerinden birinde (sanırım çeşme idi) bir restoranda yemekleri değerlendiriyordu. o kadar ballandıra ballandıra anlattı, mekanı da yemekleri de öve öve bitiremedi, ""ben türkiye'de bunu yemiyorum çünkü yapamıyorlar avrupa'ya gittiğimde yiyorum, siz de avrupalılar gibi yapıyorsunuz"" diye ekledi. yetmedi, mekan sahibinden izin isteyerek yemeğin tamamını yedi. öyle anlattı ki sırf o restoran için o yere gitmeyi planladım. uzun süredir yemekten zevk almadığımı düşünerek ""acaba benim",2009-06-30,ataturkiye,2009,Nötr,0.7547873258590698
74,"gurme falan değil, bildiğin açtır. çünkü;

1- bu akşamki programında * mekan sahibi adam ""kaburga dolması böyle olmuyor gerçi. biz kaburgayı alıp iç pilavla dolduruyoruz. sonra da kenarlarından dikiyoruz"" dediğinde ve doğru bir kaburga dolması tarifi verdiğinde onu uyarmadı. halbuki adam doğru tarif verdi. yemek tarifi bilmeyen gurme mi olurmuş!

2- programın sonunda yine aynı mekan sahibi adam ""artık yemenize izin vermeyeceğim ve bunları kaldırtacağım"" deyince de feci üzüldü. gurme dediğin aç oturmaz zate",2009-07-01,kargaburun,2009,Negatif,0.998690664768219
72,"yemeklere bakarken bile yutkunarak konuşmasıyla ve ağzını şapırdatarak yemek yemesiyle beni deli eden adam.
yaptığı işe hayranım o ayrı..",2009-07-01,santafe,2009,Negatif,0.9990495443344116
73,"programinin (bkz: tadi damagimda) suresinin reklam dahil 30 dakika yerine 45 dakika yapilmasi gerektigini dusundugum yemek uzmani.

ote yandan, dopdolu ayvalik ve cesme bolumlerinden sonraki bodrum ve mugla icerikli bolumu nispeten yavan gecmistir.",2009-07-01,vasishta,2009,Nötr,0.9949193000793457
75,"ntv gibi bir kanalda yayınlanan programında ağzını şapırdatmaktan, yemeğe yumulmaktan çekinmediği ve sırf canı istemediğinden önüne getirilen yemeği yemediği için takdir ettiğim insan. damak zevki az buçuk oluşmuş insanlar bilir ki, tad almaya çalışırken ağzınızı hafif kıpırdattığınızda yiyeceklerin ve içeceklerin lezzeti dilinize daha detaylı gelir. dilin farklı bölgelerinin farklı tad alabildiğini de hatırlarsak, ağızdaki yiyeceğin yavaşça yer değiştirilmesiyle tadım işi daha nitelikli yapılabilir. geniz",2009-07-09,guzelmarmara,2009,Nötr,0.9981896281242371
77,"yemekleri löpür löpür götürüp, mekanı pohpohlayıp programın sonunda düşük not veren bay şapırtı.",2009-07-13,ec,2009,Negatif,0.9993711113929749
76,yemeye çalışırken ağzını bir türlü tutturamayan bilgili komik adam.,2009-07-13,uyku,2009,Nötr,0.9493635892868042
